pupilId,nr_tasks_per_pupil,total_duration in minutes,average duration per task in minutes,AI-1-v2-1-1,AI-4-v2-1-4,EvalML-1-1,ML-2-1-1,EvalML-1-5,AI-4-v2-1-5,EvalML-1-2,EvalML-1-6,AIClosing-1-1,AIClosing-1-3,AIClosing-1-4,AI-1-v2-1-2,AI-1-v2-1-2_correct_points,AI-1-v2-1-2_incorrect_points,AI-1-v2-1-2_irrelevant_points,AI-1-v2-1-2_rating_content,AI-1-v2-1-2_rating_format,AI-1-v2-1-2_rating_creativity,AI-4-v2-1-3,AI-4-v2-1-3_correct_points,AI-4-v2-1-3_incorrect_points,AI-4-v2-1-3_irrelevant_points,AI-4-v2-1-3_rating_content,AI-4-v2-1-3_rating_format,AI-4-v2-1-3_rating_creativity,ML-2-1-2,ML-2-1-2_correct_points,ML-2-1-2_incorrect_points,ML-2-1-2_irrelevant_points,ML-2-1-2_rating_content,ML-2-1-2_rating_format,ML-2-1-2_rating_creativity,EvalML-1-7,EvalML-1-7_correct_points,EvalML-1-7_incorrect_points,EvalML-1-7_irrelevant_points,EvalML-1-7_rating_content,EvalML-1-7_rating_format,EvalML-1-7_rating_creativity,AIClosing-1-2,AIClosing-1-5,AIClosing-1-5_rating_content,AIClosing-1-5_rating_format,AIClosing-1-5_rating_creativity,LimitsML-1-2,LimitsML-1-2_rating_content,LimitsML-1-2_rating_format,LimitsML-1-2_rating_creativity,AI-2-v2-1-1,EvalML-1-4,AI-4-v2-1-1,AI-4-v2-1-2,AI-3-v2-1-2,EvalML-1-3,Classification-1-1-1,Clustering-1-1-1,ML-3-1-2,EvalML-1-9,Classification-2-1-8,Impact-1-1-1,EvalML-1-8,classId
bniRycMi5bwrXjvGy,66,70.2333333333333,1.06414141414141,92,95,95,66,81,100,100,54,88,64,100,"Künstliche Intelligenz ist ein Algorithmus, der immer weiter dazu lernt um Aufgaben in den verschiedenste Bereichen zu erledigen.",1,0,1,3,5,4,"Eine KI ist ein Algorithmus, der auf eine bestimmte Aufgabe spezialisiert ist. Das nennt man die spezifische Intelligenz. Eine KI die allgemeine Intelligenz aufweist (wie der Mensch) gibt es noch nicht. KI treffen basierten auf ihrem Algorithmus eigene Entscheidungen und lernen auf Basis dieser dazu. Die KI ist bereits in vielen Teil des Alltags vertreten (Sprachassistenten, Kühlschränken, Smartphones).",4,0,1,5,5,5,"Beim maschinellen Lernen wird der Algorithmus „trainiert“. Hier werden dem Algorithmus viele Bilder von (in unserem Fall) Hunden oder anderen Tieren gezeigt. Wenn er das Tier fälschlicherweise als Hund erkennt, verändert er die Gewichtung der Merkmale. Wenn er einen Hund als Hund erkennt, stärkt er die Gewichtung. Der Algorithmus wird also mit Daten gefüttert und erhält dann ein Feedback.",3,0,0,4,5,4,Beim maschinellen Lernen wird die KI mit Beispielen gefüttert und dadurch trainiert. ,1,0,0,5,5,4,100,"Ich glaube, dass meine Angst haben brauch, da meiner Meinung nach Menschen immer überlegen werden sein.",4,2,4,"Dann würde der Algorithmus denken, dass Hunde aussehen wie Seehunde. Also würde er dann Seehunde als Hunde erkennen und benennen",5,5,4,"[True, True, False, True]","[True, True, True, False]","[False, True, True, False]","[True, True, False, True, True, False, True]","[True, False, True]","[True, False, False, True, False, True, False, True, True]","[False, True, False]","[False, False, True, True]","[False, True]","[True, True]","[True, False, True]","[False, True]","[True, False, True, True, False, True, True, True]",qFEyvypMn4sAwLwtc
sqBXKssFvS8pFYAMv,66,66.65,1.00984848484849,89,99,96,79,93,100,98,95,95,61,89,Künstliche  Intelligenz ist ein Algorithmus der trainiert oder programmiert wurde bei bestimmten Reißen oder Bedingungen bestimmte Handlungen ausführt.,1,1,0,4,4,4,"Eine KI kann durch bestimmte Handlungen, selbst entscheiden was es für eine Handlung ausführen muss. Dafür hat die KI einen Algorithmus durch den sie auch selbst erweitern oder ändern kann wenn’s eine selbstlernende KI ist. Es gibt spezifische KI die z.B nur die schnellste Autoroute von A nach B berechnen können aber auch allgemeine KI die in jedem Bereich ein gewisse Intelligenz  besitzen. Solch eine allgemeine Intelligenz gibt es aber noch nicht.",5,0,0,5,5,4,Maschinelles lernen ist lernen bei dem eine Maschine oder eine KI trainiert wird. Dafür braucht die sehr viele Daten und bekommt am Ende ein Feedback ob sie richtig gehandelt hat oder nicht. Mit diesem Feedback werden die Daten die zu einer Handlung führen angepasst.,2,0,0,4,5,4,Maschinelles lernen ist ein Lernprozess bei dem mit großen Datenmengen eine KI trainiert wird um  mit bestimmten Handlungen zu reagieren. Es gibt dass überwachte lernen bei dem ein Algorithmus mit gekabelten Daten trainiert wurde und dann später Daten selbst Labeln kann und das unüberwachte lernen das cluster also Regelmäßigkeiten findet.,5,0,0,5,4,4,93,"Ich würde ihm sagen, dass eine KI niemals so komplex denken kann wie er selbst. Die KI wird immer nur kleine Teilbereiche gut Beherschen können. Der Mensch ist also nicht von KI bedroht sondern hat nur eine Hilfe im Alltag die einen bei Teilbereichen unterstützt.",4,5,4,Dann würde der Algorithmus nur Seehund als Hunde Labeln. Echte Hunde würde er nicht erkennen.,5,5,4,"[True, True, False, True]","[True, True, True, False]","[False, False, True, False]","[True, True, False, False, True, False, True]","[False, False, True]","[True, False, False, True, False, True, False, True, True]","[False, True, False]","[False, False, True, True]","[False, True]","[True, True]","[False, False, True]","[False, True]","[True, False, True, True, False, True, True, True]",qFEyvypMn4sAwLwtc
Kd6FuRsrq6QvPrkKp,6,37.3833333333333,6.23055555555556,78,,,,,,,,,,,"Künstliche Intelligenz heißt, dass ein Roboter (Beziehungsweise eine Maschine) nachahnen kann und sich selbst als Mensch verhalten kann. Auch kann eine Künstgliche Intelligenz komplett selbstständig handeln, dies geschieht durch die sogenannte Automatisierung. Zum Beispiel werden Autos auf das sogenannte Autonomes Fahrsystem ungestellt, was bedeutet, dass Autos komplett selbstständig fahren und in brenzlichen Situationen selbstständig handeln.<br>",1,1,1,4,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[True, True, False, True]",[],[],[],"[True, False, True]",[],[],[],[],[],[],[],[],qFEyvypMn4sAwLwtc
6bBwnX2mwAp2NAwNR,35,114.55,3.27285714285714,77,68,,52,,100,,,,,,"Künstliche Intelligenz bedeutet, dass ein Roboter (bzw. eine Maschine) Verhalten nachahmen kann und sich selbst als Mensch verhalten kann. Auch kann eine Künstliche Intelligenz <strong>komplett selbstständig</strong> handeln, dies geschieht durch die sogenannte <strong>Automatisierung</strong>. Zum Beispiel werden Autos auf das sogenannte ""<strong>autonome Fahrsystem</strong>"" umgestellt, was so viel bedeutet, dass Autos komplett selbstständig fahren und in brenzlichen Situationen selbstständig handeln. ",1,1,1,5,5,4,"KI (Künstliche Intelligenz) unterscheidet man in zwei Bereichen: Die spezifische KI und die allgemeine KI. Die spezifische KI weist menschenähnliche Intelligenz in einem kleinen Bereich vor (dies kann zum Beispiel ein Filter sein), sie kann aber auch die menschliche Intelligenz übertreffen (Computer Games). Die allgemeine KI weist menschenähnliche Intelligenz in einem großen Bereich vor, was so viel bedeutet, dass sie in mehreren und auch größeren Bereichen der menschlichen Intelligenz ähneln oder sogar übertreffen.<br>Eine KI lernt durch Erfahrung: Sie wird also trainiert. In Computer-Games hat sich die KI schon so weit entwickelt, dass sie die Besten E-Sportler übertreffen. Dies geschieht unter anderem dadurch, dass die KI selbstständig handeln kann.",4,0,0,5,5,5,"Maschinelles Lernen bedeutet, dass eine KI trainiert (wird). Dies geschieht durch die ""Hereingabe"" von Daten. Die KI lernt dadurch dann, etwas zu erkennen und unterscheidet zum Beispiel unter ""Hund"" oder""Kein Hund"". ",2,0,0,5,5,4,,,,,,,,,,,,,,,,,"[True, True, False, True]",[],"[False, True, True, False]","[True, True, True, True, True, False, True]","[True, False, True]",[],"[False, True, False]","[False, True, True, True]","[False, True]",[],"[True, False, True]",[],[],qFEyvypMn4sAwLwtc
ZTvPk2i77LDC8pFmu,66,59.4,0.9,59,73,40,53,56,34,33,78,71,43,45,also roboter halt oder technische sachen halt ,0,1,0,2,2,3,"okay, Ki umfasst meistens maschinen die von menschen gebaut worden sind, und welche auch menschliche aufgaben machen können. kis lernen aus erfahrung und treffen eigenständige Entscheidungen, bald soll Ki sogar schlauer sein als so mancher Mensch.Momentan gehören alle ki anwendungen zur spezifischen ki.Ki sind sowas wie echo dots, roboter, oder auch siri",3,0,2,5,3,4,das heißt eigtl. nur das eine maschine aus erfahrung lernt,1,0,0,3,2,3,"eine maschine lernt aus erfahrung, z.b. bei der erkennung von hunden sieht es bilder von mehrerehn hunden und kann so besser hunde erkennen",0,0,1,5,3,4,61,"Bisher wird ja KI noch nicht so stark eingesetzt dass man sich sorgen müsste, außerdem lernen die ja auch aus erfahrung, d.h., dass KI später kaum Fehlentscheidungen treffen wird, und auf jeden fall weniger als der mensch. Also eigtl gibt es keinen grund zur Sorge",4,3,4,dann würde der computer bei seehunden sagen dass das hunde sind<br>,5,2,4,"[False, False, False, True]","[True, False, True, False]","[False, True, True, False]","[True, False, False, False, True, False, True]","[False, True, True]","[True, False, False, True, True, True, False, True, True]","[False, True, False]","[False, False, True, True]","[False, True]","[True, True]","[True, False, True]","[False, True]","[True, False, True, True, False, False, True, True]",qFEyvypMn4sAwLwtc
rsATbrReo6odn6oXD,34,67.9166666666667,1.99754901960784,74,84,,57,,100,,,,,,"Künstliche Intelligenz ist quasi der Verstand von einem Computer. Hierbei kann ein Computer Entscheidungen treffen, die auf dem ,,gelernten Wissen"" des Computers basieren. Lernen tut der Computer, in dem er verschiedene Merkmale von Gegenständen einprägt und Verbindungen zwischen diesen bildet. KI kann in modernen Autos, in Videospielen oder in Robotern gefunden werden.",2,0,1,4,5,4,"KI ist eine programmierte Intelligenz, die in einzelnen Bereichen eigenständige Entscheidungen treffen kann. Diese Entscheidungen basieren auf Erfahrungen, die entweder programmiert, oder bereits gesammelt wurden. Diese Intelligenz ist aber immer nur in ihrem programmierten Bereich aktiv, da es noch keine allgemeine KI gibt.",3,0,0,5,5,4,"Computer lernen, in dem sie Merkmale eines Bildes abspeichern, und zwischen den Merkmalen Verbindungen ziehen. Bei weiteren Bildern sucht der Computer nach diesen Merkmalen. Wenn der Computer bei einem Bild richtig lag, verstärkt er diese Verbindungen, wenn er falsch lag, löst er sie auf. So entstehen nach und nach die typischen Merkmale einer Katze zum Beispiel.",1,1,1,5,5,4,,,,,,,,,,,,,,,,,"[True, True, True, True]",[],"[False, True, True, False]","[True, True, False, True, True, False, True]","[False, False, True]",[],"[False, True, False]","[False, True, True, True]","[False, True]",[],"[True, True, True]",[],[],qFEyvypMn4sAwLwtc
FhFN5eiQduwiYKWEn,34,88.1333333333333,2.5921568627451,73,92,,80,,59,,,,,,"küstliche Inteligenz fünktuniert wie ein baby, er lernt mit bilder sprache und was auf immer bei ihm angeht für beispeil wenn ich eine computer programbilder von handy zeige und dann ihm ein bild von ein hund ein bild von ein handy zeige kann er leicht erkennen welche von die beide ein handy ist und welche ein hund.",1,0,1,4,3,5,"ki bedeutet lernen durch zeichnungen, erfahrungen, feedbacks, und dann auch selbständig entscheidungen treffen, und dann durch erfahrung und fehler lernen und sich verbessern .",2,0,0,4,2,4,maschinelle lernen wenn Mann der Computer keine Anforderungen gibt sondern lasst ihm selbst lernen und entwickeln,1,1,0,3,4,4,,,,,,,,,,,,,,,,,"[True, True, False, True]",[],"[False, True, True, False]","[True, True, False, True, True, False, True]","[True, True, False]",[],"[False, True, True]","[False, False, True, True]","[False, True]",[],"[True, False, True]",[],[],qFEyvypMn4sAwLwtc
Ay6mfswm3SFcQdNJg,66,120.116666666667,1.81994949494949,62,91,81,71,75,90,90,64,100,34,89,"Künstliche Intelligenz ist meiner Meinung nach ein Algorithmus ergänzt um z.B. maschinelles lernen oder auch eine Anwendung welche lernt und in der Lage ist z.B. menschliches Verhalten nachzuahmen indem sie Menschen analysiert. Künstliche Intelligenz sollte meiner Meinung nach auch bereits in der Lage sein gewisse geringfügige ja/nein Entscheidungen zu treffen aber sie sollte dies nicht mit Folgen für das Leben von Menschen. Künstliche Intelligenz lernt unter anderem mit der sogenannten Methode des Deep Lernings. Hierbei werden Daten durch einen Algorithmus geschickt und von diesem ausgewertet mit Hinsicht darauf ob eine Behauptung zu diesen Daten stimmt oder nicht. Gibt der Algorithmus die Lösung richtig wieder werden die Teile der KI bei der Entscheidungsfindung verstärkt, die für die richtige Lösung sorgten. ",3,1,2,5,5,5,"KI ist eine künstliche Intelligenz in einem spezifischen Bereich (zumindest heute), welche in der Lage ist eigene Entscheidungen zu treffen und aus diesen zu lernen. KI gibt es noch nicht in solchem Maße wie Menschen intelligent sind, doch spezifische KI ist Menschen in bestimmten Bereichen bereits überlegen.   ",4,0,1,5,5,4,"Insbesondere Deep-Learning ist mir bekannt. Beim Deep-Learning werden einem Computer verschiedene Bilder gegeben und der Computer analysiert in mehreren Schritten ob es sich um einen gewissen Fall handelt (also zum Beispiel um den Fall, dass das Bild einen Hund zeigt) oder nicht bzw. ob es sich stattdessen um z.B. eine Katze handelt statt eines Hundes. Wenn nun das Ergebnis richtig war dann werden jene Komponenten, welche zur richtigen Lösung beitragen beim nächsten Versuch stärker gewertet als andere und wenn das Ergebnis falsch war dann werden irreführende Teile des Algorithmus weniger stark gewertet.",1,0,2,5,5,5,Beim maschinellen lernen werden KIs selbständig darauf trainiert bestimmte Daten zuzuordnen oder sie zu labeln. Dabei unterscheidet man  zwischen überwachtem und unüberwachtem  lernen.,3,0,0,5,5,4,100,,,,,Auf einmal würde der Algorithmus anfangen alle Bilder von Hunden nicht mehr als Hunde zu labeln aber dafür alle Seehunde als Hunde labeln.<br>,5,5,5,"[True, True, False, True]","[True, True, True, False]","[False, True, True, False]","[True, True, False, True, True, False, True]","[True, False, True]","[True, False, False, True, False, True, False, False, True]","[False, True, False]","[False, False, True, True]","[True, False]","[True, True]","[True, False, True]","[False, True]","[True, False, True, True, False, True, True, True]",qFEyvypMn4sAwLwtc
hn2oJ5p2CwPfG44wx,54,123,2.27777777777778,71,99,79,77,100,100,84,100,,,,"Bei Künstlichen Intelligenzen wird durch das Deep Learning (dies kann z.B. über Pixel Registrierungen bei Bildern funktionieren, wenn es um Bilderkennung handelt) versucht, Computern die Fähigkeit zu verleihen menschlich zu denken und zu lernen.",1,1,1,4,5,5,"Es gibt zwei Arten von KIs einmal die spezifische KI und einmal die allgemeine KI. Die allgemeine KI ist in allen Bereichen gut und ist demnach auf einer Leistungshöhe mit dem Menschen. Eine spezifische KI ist jedoch nur in einer spezifischen Aufgabe gut.Anwendungen, die sich an etwas anpassen und selbst Entscheidungen treffen, gehören zur KI. ",4,0,0,4,5,4,"Maschinelles Lernen wird auch ""deep learning"" genannt. Dabei lernt das Computer durch Erfahrungen in einem bestimmten Bereich. Wenn man möchte das ein Computer Katzen erkennen kann, legt man ihm viele verschiedene Katzen Bilder vor. Dann erkennt er alle Ecken, Kanten und typische Formen, wie Nase, Ohren. Durch häufige Wiederholungen lernt der Computer dann, auch von anderen Bildern Katzen zu erkennen. ",1,1,1,5,5,4,"Maschinelles Lernen ist Lernen durch Erfahrungen. Dabei werden Algorithmen zum Beispiel viele verschiedene Bilder mit bestimmten Objekten oder Lebewesen vorgelegt, damit es lernt auch von anderen Bildern sie zu erkennen. ",1,0,0,5,5,3,,,,,,"Dann würde das Algorithmus nur Seehunde als Hunde ansehen, echte Hunde jedoch nicht.",5,5,5,"[True, True, False, True]","[True, False, True, False]","[False, True, True, False]","[True, True, False, False, True, True, True]","[True, False, True]","[True, True, False, True, False, True, False, False, True]","[False, True, False]","[False, False, True, True]","[False, True]","[True, True]","[True, False, True]","[False, True]","[False, True, True, True, False, True, True, True]",qFEyvypMn4sAwLwtc
dotjrftFetJme4iPH,35,117.25,3.35,76,49,,54,,88,,,,,,"Meiner Meinung nach, künstliche Intelligenz ist das „Deep–Learning“, welches den Maschinen ermöglicht, das menschliche Denken nachzuahmen. Das sogenannte „Deep–Learning“ ist ein Prozess, wobei die Maschinen Bilder nach ihrer Pixel Auflösung und nach Kategorie analysieren.",1,1,1,4,5,4,"KIs sind Maschinen, die bezüglich im Alltag verwendet werde, wie Alexa, Siri, Gesichtserkennung, usw.. Allerdings gibt es auch Roboter, die das menschliche Verhalten und das logische Denken nachahmen, indem sie durch Erfahrungen bzw. durch das Ansehen von Angaben auf andere Sachen anwenden können.",1,0,2,5,5,4,"Ich denke, dass maschinelles Lernen ein Prozess von den Computern ist, indem sie durch das ständige analysieren von Bildern von Hunde und Katzen am Schluss wichtige Eigenschaften erlernen. ",0,0,1,5,5,4,,,,,,,,,,,,,,,,,"[True, True, False, True]",[],"[False, True, True, False]","[False, True, False, True, True, False, True]","[False, True, True]",[],"[False, True, False]","[False, False, True, True]","[True, False]",[],"[True, False, True]",[],[],qFEyvypMn4sAwLwtc
TLqNCrX4jaYixjtv7,46,124,2.69565217391304,51,61,66,53,75,100,100,100,,,,"Künstliche Intelligenz ist wenn Programme durch das Deep-learning Verfahren Dinge erkennen kann und den Menschen z.B. helfen, objektiv zu bewerten. KI wird beispielsweise für Autonomes Fahren, Pflegeroboter  und Erkennen einer Lungeninfektion auf der Computertomografie genutzt. Allerdings wird KI auch sehr kritisiert, da Roboter keine Entscheidungen treffen sollen und auch bei den Pflegerobotern, weil sie nicht wirklich Gefühle besitzen, sondern diese Gefühle nur durch einem Bildschirm vortäuschen. ",1,0,2,5,5,5,Es gibt spezifische KI und die Vorstellung von allgemeine KI. Spezifische zeigen menschenähnliche Intelligenz in einem kleinen Bereich und allgemeine KI zeigen menschenähnliche Intelligenz in alle Bereiche. Allerdings gibt es noch keine allgemeine KI. KI lernen durch Erfahrung in einem Deeplearning-prozess,4,0,0,3,5,4,"Maschinelles Lernen, auch Deep-learning genannt hat drei Schichten, jeweils für Helligkeit, Ecken und Kanten und Muster. Wenn dem Computer Daten zugeschickt wird, gehen die Daten durch die drei Schichten. Am Ende entscheidet der Computer, ob zB. auf einem Bild ein Hund gezeigt wird. ",0,2,1,5,5,4,"Es gibt überwachtes Lernen und unüberwachtes Lernen. Überwachtes Lernen ist wenn die Trainingsdaten mit Label beschriftet werden und der Algorithmus am Ende selbst Bilder mit Label beschriften kann. Beim unüberwachten Lernen werden die Daten in verschiedene Cluster unterteilt, es findet Struktur in den Daten.",5,0,0,4,5,4,,,,,,Dann erkennt der Algorithmus Seehunde als Hunde.,5,5,5,"[True, True, False, True]","[True, False, True, False]","[False, True, True, False]","[False, True, True, True, True, False, True]","[True, False, True]","[True, True, False, True, False, True, False, False, True]","[False, True, False]","[False, False, True, True]","[False, True]","[True, True]","[True, False, True]",[],"[True, False, True, True, False, True, True, True]",qFEyvypMn4sAwLwtc
kdqG4fXAK64zdrqN8,54,122.783333333333,2.27376543209877,51,60,69,62,69,58,62,81,,,,"Künstliche Intelligenz sorgt für die Digitalisierung. Durch das Deep Learning lernen sie Dinge objektiv zu bewerten, also wird menschliches Denken auf Computer übertragen. Dazu gehören Roboter, autonomes Fahren, Computertomographie. Viele sind gegen die Künstliche Intelligenz (Roboter), da sie der Meinung sind, dass sie keine Entscheidungen treffen sollten. ",1,0,2,5,5,4,"Die KI behandelt das maschinelle Lernen und die Automatisierung intelligenten Verhaltens. Die KI nimmt uns Menschen bestimmte Arbeiten ab, wie z.B. im industriellen Bereich.",1,0,1,4,5,3,"Es ist eine Art Training, bei dem KIs Wissen und Erfahrung erlernen, mit Hilfe von Beispielen. ",1,0,0,4,4,4,Maschinen sind dadurch in der Lage Probleme zu lösen und lernen mit Mustern und Daten immer mehr dazu. ,1,0,0,5,5,4,,,,,,"Dann denke ich würden die Seehunde nicht als Hunde erkannt werden, weil sie nicht die Eigenschaften eines Hundes haben.",5,5,5,"[True, True, False, True]","[True, False, True, False]","[False, True, True, False]","[False, True, True, True, False, False, True]","[True, False, True]","[True, True, False, True, False, False, True, False, True]","[False, True, True]","[False, True, True, False]","[True, False]","[True, True]","[True, False, True]","[False, True]","[True, False, True, True, False, True, False, False]",qFEyvypMn4sAwLwtc
7eqvpzMXwFGaYWHou,11,43.8,3.98181818181818,69,53,,,,43,,,,,,"<span style=""background-color: rgb(232, 234, 246); color: rgba(0, 0, 0, 0.87);"">Künstliche Intelligenz (KI) ist in Reichweite. Menschen im philosophischen Sinne sind mit den möglichen Zukunftsszenarien der menschlichen Gesellschaft unzufrieden - nicht ohne einige Doomsday-Bilder zu verwenden. Berühmte Ereignisse wie der Sieg der künstlichen Intelligenz AlphaGo gegen Lee Se-dol, den Weltmeister von Go im Jahr 2016, haben ein Bild der KI gemalt, das den Menschen immer mehr übertreffen soll.</span>",0,0,3,4,3,5,Eine KI ist eine CPU die kein Mensch ist. Die KI gibt es nur in Computern,0,1,1,2,4,3,,,,,,,,,,,,,,,,,,,,,,,,"[True, True, False, True]",[],"[False, True, True, False]","[True, False, True, False, False, True, True]","[True, True, False]",[],[],[],[],[],[],[],[],qFEyvypMn4sAwLwtc
Z9DkQMmtiPiHtteME,4,25.95,6.4875,43,,,,,,,,,,,"<span style=""background-color: rgb(248, 246, 247); color: rgba(0, 0, 0, 0.87);"">kl ist ein Zweig der Informatik, der sich der Automatisierung von intelligentem Verhalten und maschinellem Lernen widmet. Der Begriff ist schwer zu definieren, da es keine genaue Definition von ""intelligent"" gibt. Trotzdem wird es immer noch in Forschung und Entwicklung eingesetzt.</span>",1,0,1,5,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[False, True, False, True]",[],[],[],[],[],[],[],[],[],[],[],[],qFEyvypMn4sAwLwtc
